id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
23435,141020,Hengband,NULL,2000-06-17 00:00:00.000,1,1,NULL,NULL,NULL,NULL
23440,8912,Fast Food Tycoon,"In Fast Food Tycoon, the player is able to take part in many of the standard activities that are involved with running a successful pizza chain, including designing layout, deciding prices, and developing new pizzas. The player can also take part in illicit activities, such as looting and robbing other pizza locations.",2000-11-20 00:00:00.000,NULL,NULL,NULL,NULL,89.3969,5
23543,165293,Tonka Workshop,NULL,2000-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23580,4128,Gekido,"In a time where there is great corruption and terror, a young girl named Angela has been kidnapped. Rumor has it that Kintaro has made a deal with the devil. Angela's parents hire Travis, a private detective, to investigate the crime boss Kintaro and retrieve Angela. Knowing that the mission to rescue Angela will not be easy, he is aided by three sidekicks, Michelle, Ushi, and Tetsuo.",2000-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23629,47614,Pachi-Slot Aruze Oukoku Pocket: Ward of Lights,NULL,2000-03-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23633,3381,Harvest Moon 3 GBC,NULL,2000-09-29 00:00:00.000,1,NULL,NULL,NULL,77.0000,2
24210,77326,You Don't Know Jack: Mock 2,NULL,2000-11-06 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
24922,13900,Rescue Shot,NULL,2000-02-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24934,49990,Towers: Lord Baniff's Deceit,NULL,2000-07-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25223,69114,Tales of Phantasia: Narikiri Dungeon,NULL,2000-11-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25922,127265,Genesis,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
25945,63169,SuperLite 1500 series: Sudoku 2,NULL,2000-01-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26133,49906,Test Drive Cycles,NULL,2000-07-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26190,37512,Final Lap 2000,NULL,2000-04-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26204,39494,Brave Blade,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26297,45849,World Series Baseball 2K1,NULL,2000-08-17 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
26654,142643,Bikeflyter,NULL,2000-08-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
