id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
157385,5179,Spider-Man: Edge of Time,NULL,2011-10-04 00:00:00.000,12,NULL,69.6667,10,62.7033,21
157720,138949,Marvel's Spider-Man Remastered,NULL,2020-11-12 00:00:00.000,4,1,85.5000,4,87.7064,11
158961,139968,Marvel's Spider-Man: Miles Morales - Launch Edition,NULL,2020-11-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
160201,188550,Spider-man: Ultimate Power,NULL,2014-04-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162776,5181,Spider-Man: Web of Shadows,NULL,2008-10-21 00:00:00.000,37,NULL,69.6667,8,74.5830,76
163739,4118,Spider-Man 2: Enter Electro,"Shortly after the Symbiote Invasion, a series of robberies led by Electro have taken place throughout New York City. While out on patrol, Spider-Man spots one of the robberies taking place at a building owned by BioTech. Planting a Spider-Tracer on the head thief's motorcycle, Spider-Man follows it to an abandoned warehouse where the thief is passing off a stolen briefcase to a contact. Spider-Man takes out the thugs and interrogates one of them, but is then attacked by the head thief: Shocker.

After defeating Shocker, Spider-Man follows the thug's tip and heads for the airfield, where the contact is heading towards. Along the way, Spider-Man is forced to disable a bomb threat, take out a machine-gun nest, and stop a runaway airplane from crashing. As the contact escapes via helicopter, Spider-Man is able to plant another tracer on it and track it to a trainyard owned by Hammerhead. Fighting through the mob-employed night staff and Sandman, Spider-Man races to catch a fleeing train and meets with the contact, who is revealed as The Beetle. The masked villain escapes with his briefcase, but he unknowingly leaves Spider-Man a clue: an invitation to the Science and Industry Ball.

Elsewhere, Electro explains his plan to the other villains. He and his partners have stolen the parts to the Bio-Nexus Device, which can amplify one's bio-energy to power a city block, and Electro plans to use it to increase his own powers. The device is currently incomplete, and only its creator Dr. Watts knows how to finish it. Hammerhead and his goons are sent to the Science and Industry Ball to take Dr. Watts hostage.

Though Spider-Man arrives at the Ball and manages to defeat Hammerhead, Sandman secretly escapes with the good doctor. Spider-Man decides to call Dr. Curt Conners at BioTech for some answers, but hears the sounds of a battle on the line. Spider-Man immediately infiltrates BioTech and reaches Dr. Connors's lab, where his alter-ego The Lizard is on an uncontrolled rampage. After being changed back to normal, Conners explains Electro's goal to become a god with the Bio-Nexus Device. He instructs Spider-Man to go and check out Dr. Watts' lab. Following a rooftop chase, Spider-Man eventually arrives at the lab and learns of the device's main power source, only to be caught in another battle with Sandman. After defeating Sandman by flushing him down the sewer grate with water, Spider-Man subsequently sees a newspaper article about the power source - a sapphire named Zeus's Tear - being on display at the museum. Electro is also informed of the jewel when one of his thugs brings him the same news article.

At the museum, Spider-Man catches up to Electro, who is still holding Dr. Watts as his hostage. He offers to give her up if Spider-Man gives him the Zeus's Tear. Spider-Man reluctantly obeys, and Electro tosses the doctor as Spider-Man throws the jewel. When Spider-Man attempts to snag the jewel back in midair with a web, Dr. Watts accidentally throws off his aim and he misses, allowing Electro to catch it. The Bio-Nexus Device complete, Electro activates it and flies off in an electrifying flash of lightning bolt. Spider-Man follows the villain to a massive conductor at a tower, where he supercharges himself into Hyper-Electro, a being of pure electrical energy. Unable to directly attack Electro, Spider-Man instead uses the tower's generators to overload and destroy the Bio-Nexus Device, ending Electro's power play for good.

The next day, The Mighty Thor is credited in the Daily Bugle as having saved New York from Electro, much to Spider-Man's disappointment. In prison, Electro sits in his cell moaning over his defeat while Hammerhead and Shocker play Poker. In a nearby cell, Doctor Octopus and the rest of the villains from the previous game are still locked up, and Shocker attempts to ask them if they know how to play Go Fish.",2001-10-19 00:00:00.000,20,NULL,40.0000,1,73.4728,57
165770,18125,Spider-Man and Venom: Maximum Carnage,NULL,1994-09-16 00:00:00.000,4,NULL,NULL,NULL,66.2979,16
165805,4500,Spider-Man,NULL,1994-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
170502,138947,Marvel's Spider-Man: Miles Morales - Ultimate Edition,NULL,2020-11-12 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
171189,196243,The Amazing Spider-Man 2,NULL,2014-04-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
171218,4755,The Amazing Spider-Man 2,NULL,2014-04-17 00:00:00.000,22,1,52.2857,14,55.0346,53
171450,4389,Spider-Man and the X-Men in Arcade's Revenge,NULL,1992-11-01 00:00:00.000,NULL,NULL,NULL,NULL,48.6465,10
171534,6605,Spider-Man: Mysterio's Menace,NULL,2001-02-07 00:00:00.000,2,NULL,NULL,NULL,70.0609,8
172132,5178,Spider-Man 3,NULL,2007-05-04 00:00:00.000,24,NULL,58.6667,11,60.4856,89
